ilan,aciklama,cv_id,insan_sirasi
Job 2 (İK Uzmanı),"Personel özlük işleri, bordrolama ve SGK süreçleri konusunda deneyimli, yıllık izin takibi ve mülakat organizasyonlarını yürütecek İnsan Kaynakları Uzmanı arıyoruz.",15041689,4
Job 2 (İK Uzmanı),"Personel özlük işleri, bordrolama ve SGK süreçleri konusunda deneyimli, yıllık izin takibi ve mülakat organizasyonlarını yürütecek İnsan Kaynakları Uzmanı arıyoruz.",12786012,5
Job 2 (İK Uzmanı),"Personel özlük işleri, bordrolama ve SGK süreçleri konusunda deneyimli, yıllık izin takibi ve mülakat organizasyonlarını yürütecek İnsan Kaynakları Uzmanı arıyoruz.",25128608,6
Job 2 (İK Uzmanı),"Personel özlük işleri, bordrolama ve SGK süreçleri konusunda deneyimli, yıllık izin takibi ve mülakat organizasyonlarını yürütecek İnsan Kaynakları Uzmanı arıyoruz.",18752129,7
Job 3 (Executive Chef),"Experienced Executive Chef to manage a high-volume kitchen. Proficiency in menu engineering, food cost analysis, and HACCP safety standards is mandatory. Expertise in Mediterranean cuisine is a plus.",25128608,1
Job 3 (Executive Chef),"Experienced Executive Chef to manage a high-volume kitchen. Proficiency in menu engineering, food cost analysis, and HACCP safety standards is mandatory. Expertise in Mediterranean cuisine is a plus.",20321582,2
Job 3 (Executive Chef),"Experienced Executive Chef to manage a high-volume kitchen. Proficiency in menu engineering, food cost analysis, and HACCP safety standards is mandatory. Expertise in Mediterranean cuisine is a plus.",23032276,3
Job 3 (Executive Chef),"Experienced Executive Chef to manage a high-volume kitchen. Proficiency in menu engineering, food cost analysis, and HACCP safety standards is mandatory. Expertise in Mediterranean cuisine is a plus.",28230807,4
Job 3 (Executive Chef),"Experienced Executive Chef to manage a high-volume kitchen. Proficiency in menu engineering, food cost analysis, and HACCP safety standards is mandatory. Expertise in Mediterranean cuisine is a plus.",18825446,5
Job 3 (Executive Chef),"Experienced Executive Chef to manage a high-volume kitchen. Proficiency in menu engineering, food cost analysis, and HACCP safety standards is mandatory. Expertise in Mediterranean cuisine is a plus.",24083609,6
Job 3 (Executive Chef),"Experienced Executive Chef to manage a high-volume kitchen. Proficiency in menu engineering, food cost analysis, and HACCP safety standards is mandatory. Expertise in Mediterranean cuisine is a plus.",12202337,7
Job 4 (Mutfak Şefi),"Uluslararası mutfakta deneyimli, reçete maliyetlendirme ve mutfak ekip yönetimi yapabilen, hijyen standartlarına (ISO 22000) hakim profesyonel aşçıbaşı arıyoruz.",25128608,1
Job 4 (Mutfak Şefi),"Uluslararası mutfakta deneyimli, reçete maliyetlendirme ve mutfak ekip yönetimi yapabilen, hijyen standartlarına (ISO 22000) hakim profesyonel aşçıbaşı arıyoruz.",19831366,2
Job 4 (Mutfak Şefi),"Uluslararası mutfakta deneyimli, reçete maliyetlendirme ve mutfak ekip yönetimi yapabilen, hijyen standartlarına (ISO 22000) hakim profesyonel aşçıbaşı arıyoruz.",27831220,3
Job 4 (Mutfak Şefi),"Uluslararası mutfakta deneyimli, reçete maliyetlendirme ve mutfak ekip yönetimi yapabilen, hijyen standartlarına (ISO 22000) hakim profesyonel aşçıbaşı arıyoruz.",28424982,4
Job 4 (Mutfak Şefi),"Uluslararası mutfakta deneyimli, reçete maliyetlendirme ve mutfak ekip yönetimi yapabilen, hijyen standartlarına (ISO 22000) hakim profesyonel aşçıbaşı arıyoruz.",51554903,5
Job 4 (Mutfak Şefi),"Uluslararası mutfakta deneyimli, reçete maliyetlendirme ve mutfak ekip yönetimi yapabilen, hijyen standartlarına (ISO 22000) hakim profesyonel aşçıbaşı arıyoruz.",24083609,6
Job 4 (Mutfak Şefi),"Uluslararası mutfakta deneyimli, reçete maliyetlendirme ve mutfak ekip yönetimi yapabilen, hijyen standartlarına (ISO 22000) hakim profesyonel aşçıbaşı arıyoruz.",12202337,7
Job 5 (Senior Accountant),"Looking for a Senior Accountant to handle general ledger, tax preparation, and financial reporting. Proficiency in SAP or Microsoft Dynamics and reconciliation processes is required.",26065877,1
Job 5 (Senior Accountant),"Looking for a Senior Accountant to handle general ledger, tax preparation, and financial reporting. Proficiency in SAP or Microsoft Dynamics and reconciliation processes is required.",25862026,2
Job 5 (Senior Accountant),"Looking for a Senior Accountant to handle general ledger, tax preparation, and financial reporting. Proficiency in SAP or Microsoft Dynamics and reconciliation processes is required.",28298773,3
Job 5 (Senior Accountant),"Looking for a Senior Accountant to handle general ledger, tax preparation, and financial reporting. Proficiency in SAP or Microsoft Dynamics and reconciliation processes is required.",20624984,4
Job 5 (Senior Accountant),"Looking for a Senior Accountant to handle general ledger, tax preparation, and financial reporting. Proficiency in SAP or Microsoft Dynamics and reconciliation processes is required.",37370455,5
Job 5 (Senior Accountant),"Looking for a Senior Accountant to handle general ledger, tax preparation, and financial reporting. Proficiency in SAP or Microsoft Dynamics and reconciliation processes is required.",25838512,6
Job 5 (Senior Accountant),"Looking for a Senior Accountant to handle general ledger, tax preparation, and financial reporting. Proficiency in SAP or Microsoft Dynamics and reconciliation processes is required.",36366044,7
Job 6 (Genel Muhasebe Uzmanı),"Tek düzen hesap planına hakim, vergi beyannameleri (KDV, Muhtasar, Geçici Vergi) ve mizan kontrolü süreçlerini yönetecek, E-Fatura ve E-Defter uygulamalarında deneyimli muhasebeci.",23636277,1
Job 6 (Genel Muhasebe Uzmanı),"Tek düzen hesap planına hakim, vergi beyannameleri (KDV, Muhtasar, Geçici Vergi) ve mizan kontrolü süreçlerini yönetecek, E-Fatura ve E-Defter uygulamalarında deneyimli muhasebeci.",26065877,2
Job 6 (Genel Muhasebe Uzmanı),"Tek düzen hesap planına hakim, vergi beyannameleri (KDV, Muhtasar, Geçici Vergi) ve mizan kontrolü süreçlerini yönetecek, E-Fatura ve E-Defter uygulamalarında deneyimli muhasebeci.",14470533,3
Job 6 (Genel Muhasebe Uzmanı),"Tek düzen hesap planına hakim, vergi beyannameleri (KDV, Muhtasar, Geçici Vergi) ve mizan kontrolü süreçlerini yönetecek, E-Fatura ve E-Defter uygulamalarında deneyimli muhasebeci.",20082776,4
Job 6 (Genel Muhasebe Uzmanı),"Tek düzen hesap planına hakim, vergi beyannameleri (KDV, Muhtasar, Geçici Vergi) ve mizan kontrolü süreçlerini yönetecek, E-Fatura ve E-Defter uygulamalarında deneyimli muhasebeci.",20624984,5
Job 6 (Genel Muhasebe Uzmanı),"Tek düzen hesap planına hakim, vergi beyannameleri (KDV, Muhtasar, Geçici Vergi) ve mizan kontrolü süreçlerini yönetecek, E-Fatura ve E-Defter uygulamalarında deneyimli muhasebeci.",25838512,6
Job 6 (Genel Muhasebe Uzmanı),"Tek düzen hesap planına hakim, vergi beyannameleri (KDV, Muhtasar, Geçici Vergi) ve mizan kontrolü süreçlerini yönetecek, E-Fatura ve E-Defter uygulamalarında deneyimli muhasebeci.",36366044,7
Job 7 (Personal Trainer),Certified Fitness Instructor specializing in strength training and weight management. Must be able to design personalized workout plans and provide nutritional guidance.,24994145,1
Job 7 (Personal Trainer),Certified Fitness Instructor specializing in strength training and weight management. Must be able to design personalized workout plans and provide nutritional guidance.,20279756,2
Job 7 (Personal Trainer),Certified Fitness Instructor specializing in strength training and weight management. Must be able to design personalized workout plans and provide nutritional guidance.,15293959,3
Job 7 (Personal Trainer),Certified Fitness Instructor specializing in strength training and weight management. Must be able to design personalized workout plans and provide nutritional guidance.,16474898,4
Job 7 (Personal Trainer),Certified Fitness Instructor specializing in strength training and weight management. Must be able to design personalized workout plans and provide nutritional guidance.,31042953,5
Job 7 (Personal Trainer),Certified Fitness Instructor specializing in strength training and weight management. Must be able to design personalized workout plans and provide nutritional guidance.,20345168,6
Job 7 (Personal Trainer),Certified Fitness Instructor specializing in strength training and weight management. Must be able to design personalized workout plans and provide nutritional guidance.,25676643,7
Job 8 (Pilates/Grup Eğitmeni),"Grup dersleri ve reformer pilates konusunda uzman, üyelerin fiziksel gelişimini takip edecek, anatomi bilgisi yüksek ve iletişim becerileri kuvvetli fitness eğitmeni.",24444525,1
Job 8 (Pilates/Grup Eğitmeni),"Grup dersleri ve reformer pilates konusunda uzman, üyelerin fiziksel gelişimini takip edecek, anatomi bilgisi yüksek ve iletişim becerileri kuvvetli fitness eğitmeni.",20565486,2
Job 8 (Pilates/Grup Eğitmeni),"Grup dersleri ve reformer pilates konusunda uzman, üyelerin fiziksel gelişimini takip edecek, anatomi bilgisi yüksek ve iletişim becerileri kuvvetli fitness eğitmeni.",17915015,3
Job 8 (Pilates/Grup Eğitmeni),"Grup dersleri ve reformer pilates konusunda uzman, üyelerin fiziksel gelişimini takip edecek, anatomi bilgisi yüksek ve iletişim becerileri kuvvetli fitness eğitmeni.",16474898,4
Job 8 (Pilates/Grup Eğitmeni),"Grup dersleri ve reformer pilates konusunda uzman, üyelerin fiziksel gelişimini takip edecek, anatomi bilgisi yüksek ve iletişim becerileri kuvvetli fitness eğitmeni.",17660419,5
Job 8 (Pilates/Grup Eğitmeni),"Grup dersleri ve reformer pilates konusunda uzman, üyelerin fiziksel gelişimini takip edecek, anatomi bilgisi yüksek ve iletişim becerileri kuvvetli fitness eğitmeni.",20345168,6
Job 8 (Pilates/Grup Eğitmeni),"Grup dersleri ve reformer pilates konusunda uzman, üyelerin fiziksel gelişimini takip edecek, anatomi bilgisi yüksek ve iletişim becerileri kuvvetli fitness eğitmeni.",25676643,7
Job 9 (IT Support & Systems),"Seeking an IT Specialist with experience in Windows Server, Active Directory, and VMware. Knowledge of network security (Firewalls) and hardware troubleshooting is essential.",31243710,1
Job 9 (IT Support & Systems),"Seeking an IT Specialist with experience in Windows Server, Active Directory, and VMware. Knowledge of network security (Firewalls) and hardware troubleshooting is essential.",39413067,2
Job 9 (IT Support & Systems),"Seeking an IT Specialist with experience in Windows Server, Active Directory, and VMware. Knowledge of network security (Firewalls) and hardware troubleshooting is essential.",27295996,3
Job 9 (IT Support & Systems),"Seeking an IT Specialist with experience in Windows Server, Active Directory, and VMware. Knowledge of network security (Firewalls) and hardware troubleshooting is essential.",13477922,4
Job 9 (IT Support & Systems),"Seeking an IT Specialist with experience in Windows Server, Active Directory, and VMware. Knowledge of network security (Firewalls) and hardware troubleshooting is essential.",26480367,5
Job 9 (IT Support & Systems),"Seeking an IT Specialist with experience in Windows Server, Active Directory, and VMware. Knowledge of network security (Firewalls) and hardware troubleshooting is essential.",25128608,6
Job 9 (IT Support & Systems),"Seeking an IT Specialist with experience in Windows Server, Active Directory, and VMware. Knowledge of network security (Firewalls) and hardware troubleshooting is essential.",20457611,7
